,Sector,Brand,Product,Segment,Family,Class
0,Food and Beverages,Coca-Cola,Coca-Cola (Classic),Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
1,Food and Beverages,Coca-Cola,Diet Coke,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
2,Food and Beverages,Coca-Cola,Coca-Cola Zero Sugar,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
3,Food and Beverages,Coca-Cola,Coca-Cola Cherry,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
4,Food and Beverages,Coca-Cola,Coca-Cola Vanilla,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
5,Food and Beverages,Coca-Cola,Coca-Cola with Coffee,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
6,Food and Beverages,Coca-Cola,Sprite,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
7,Food and Beverages,Coca-Cola,Fanta (various flavors),Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
8,Food and Beverages,Coca-Cola,Barq's Root Beer,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants)
9,Food and Beverages,Coca-Cola,Minute Maid (various juices),Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
10,Food and Beverages,Coca-Cola,Powerade,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
11,Food and Beverages,Coca-Cola,Dasani Water,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
12,Food and Beverages,Coca-Cola,Coca-Cola,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
13,Food and Beverages,Coca-Cola,Honest Tea,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
14,Food and Beverages,Coca-Cola,Simply Orange Juice,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
15,Food and Beverages,Coca-Cola,Gold Peak Tea,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
16,Food and Beverages,Coca-Cola,Fresca,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
17,Food and Beverages,Coca-Cola,"Ciel (bottled water, popular in Mexico)",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
18,Food and Beverages,Coca-Cola,Schweppes (various beverages),Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
19,Food and Beverages,Coca-Cola,Sprite Zero Sugar,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
20,Food and Beverages,Pepsi,Pepsi-Cola,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
21,Food and Beverages,Pepsi,Diet Pepsi,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
22,Food and Beverages,Pepsi,Pepsi Zero Sugar,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
23,Food and Beverages,Pepsi,Mountain Dew,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
24,Food and Beverages,Pepsi,Diet Mountain Dew,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
25,Food and Beverages,Pepsi,Mountain Dew Code Red,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
26,Food and Beverages,Pepsi,UP (owned by PepsiCo in some regions),Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
27,Food and Beverages,Pepsi,Sierra Mist,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
28,Food and Beverages,Pepsi,Gatorade,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
29,Food and Beverages,Pepsi,Tropicana Juice,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
30,Food and Beverages,Pepsi,Naked Juice,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
31,Food and Beverages,Pepsi,Aquafina Bottled Water,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
32,Food and Beverages,Pepsi,Lay's Potato Chips,Food/Beverage,Prepared/Preserved Foods,Snacks
33,Food and Beverages,Pepsi,Doritos,Food/Beverage,Prepared/Preserved Foods,Snacks
34,Food and Beverages,Pepsi,Tostitos,Food/Beverage,Prepared/Preserved Foods,Snacks
35,Food and Beverages,Pepsi,Cheetos,Food/Beverage,Prepared/Preserved Foods,Snacks
36,Food and Beverages,Pepsi,Ruffles,Food/Beverage,Prepared/Preserved Foods,Snacks
37,Food and Beverages,Pepsi,Quaker Oats,Food/Beverage,Prepared/Preserved Foods,Grain Based Products / Meals
38,Food and Beverages,Pepsi,Rice-A-Roni,Food/Beverage,Prepared/Preserved Foods,Ready-Made Combination Meals
39,Food and Beverages,Pepsi,Sabra Hummus,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
40,Food and Beverages,Nestl√©,Nescaf√© (instant coffee),Food/Beverage,Beverages,Coffee/Coffee Substitutes
41,Food and Beverages,Nestl√©,Maggi (noodles and seasonings),Food/Beverage,Prepared/Preserved Foods,Pasta/Noodles
42,Food and Beverages,Nestl√©,KitKat (chocolate bars),Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products
43,Food and Beverages,Nestl√©,Nesquik (flavored milk and powder),Food/Beverage,Beverages,Non Alcoholic Beverages - Not Ready to Drink
44,Food and Beverages,Nestl√©,Toll House (cookie dough and baking products),Food/Beverage,Bread/Bakery Products,Biscuits/Cookies
45,Food and Beverages,Nestl√©,Lean Cuisine (frozen meals),Food/Beverage,Prepared/Preserved Foods,Ready-Made Combination Meals
46,Food and Beverages,Nestl√©,Gerber (baby food),Food/Beverage,Ready-Made Combination Meals,Baby/Infant -†Foods/Beverages
47,Food and Beverages,Nestl√©,Stouffer‚Äôs (frozen meals),Food/Beverage,Prepared/Preserved Foods,Ready-Made Combination Meals
48,Food and Beverages,Nestl√©,Pure Life (bottled water),Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
49,Food and Beverages,Nestl√©,Hot Pockets (frozen sandwiches),Food/Beverage,Prepared/Preserved Foods,Sandwiches/Filled Rolls/Wraps
50,Food and Beverages,Nestl√©,Nestea (iced tea),Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
51,Food and Beverages,Nestl√©,Cheerios (breakfast cereals),Food/Beverage,Prepared/Preserved Foods,Grain Based Products / Meals
52,Food and Beverages,Nestl√©,Coffee-Mate (creamer),Food/Beverage,Beverages,Coffee/Coffee Substitutes
53,Food and Beverages,Nestl√©,Hot Pockets (frozen snacks),Food/Beverage,Prepared/Preserved Foods,Ready-Made Combination Meals
